epoch,avg_train_acc,avg_train_count,avg_val_acc,avg_val_count,avg_test_acc,avg_test_count,avg_train_acc:group_0,avg_traincount:group_0,avg_val_acc:group_0,avg_valcount:group_0,avg_test_acc:group_0,avg_testcount:group_0,avg_train_acc:group_1,avg_traincount:group_1,avg_val_acc:group_1,avg_valcount:group_1,avg_test_acc:group_1,avg_testcount:group_1,avg_train_acc:group_2,avg_traincount:group_2,avg_val_acc:group_2,avg_valcount:group_2,avg_test_acc:group_2,avg_testcount:group_2,avg_train_acc:group_3,avg_traincount:group_3,avg_val_acc:group_3,avg_valcount:group_3,avg_test_acc:group_3,avg_testcount:group_3
1,98.31074035453598,4795,70.39199343594638,1199,71.72937518413782,5794,98.85649028187005,3498,98.286938914395,467,97.87139673000429,2255,100.0,184,53.6480685794814,466,57.69401268969618,2255,96.42857142857143,56,21.05263190161913,133,21.183800594828952,642,96.31031235592931,1057,80.45112718854632,133,79.7507781625908,642
2,99.7497393117831,4795,71.4762301854634,1199,71.76389368575401,5794,99.91423673068134,3498,98.5010715133373,467,97.78270489001221,2255,97.28260828101116,184,57.08154537544742,466,58.31485533576847,2255,96.42857129233224,56,17.293233634834003,133,20.249221246933267,642,99.8107850535816,1057,81.2030067730667,133,79.12772580916265,642
3,99.85401459854015,4795,71.72643862892131,1199,72.41974456597494,5794,99.94282596079945,3498,98.92933564931474,467,97.82705125491529,2255,99.45652173913044,184,57.29613712621861,466,59.778269709821814,2255,100.0,56,16.54135405569148,133,21.495327398413067,642,99.62157048971561,1057,81.9548857839484,133,78.50467255256629,642
4,99.91657977059437,4795,71.5596330211598,1199,72.1435967926984,5794,99.97141261288887,3498,99.35760244822859,467,97.91574239794272,2255,100.0,184,56.008584116661496,466,59.822615675069805,2255,100.0,56,19.548872897499486,133,19.470405018589577,642,99.71617794848886,1057,80.4511270164547,133,77.57009322026808,642
5,99.79144942648593,4795,71.55963307842799,1199,72.6095961365652,5794,99.88565049299586,3498,98.92933818155488,467,98.0487801900724,2255,99.45652178059454,184,59.01287624048061,466,60.53215065594523,2255,100.0,56,16.541353620084603,133,19.15887821054904,642,99.52696318973769,1057,74.43608902092267,133,79.1277251317865,642
6,99.83315954118873,4795,71.39282728613566,1199,71.7466344573311,5794,99.91423769689683,3498,98.50107081084487,467,97.96008833316371,2255,100.0,184,56.43776872332004,466,57.87139621150996,2255,96.42857129233224,56,19.548872377639427,133,18.84735180432923,642,99.71617797736074,1057,80.45112661490764,133,81.30841047815817,642
7,99.79144942648593,4795,70.47539627800592,1199,72.02278219110438,5794,99.97141327593516,3498,97.85867262192916,467,97.73835862322551,2255,99.45652178059454,184,53.648068538551165,466,57.960088213055734,2255,98.21428571428571,56,19.548872911840455,133,21.183800723322456,642,99.33774812061378,1057,84.21052568478692,133,81.93146321186767,642
8,99.64546402502607,4795,71.39282722250435,1199,71.40144977826351,5794,99.88564899677955,3498,98.07280613574532,467,97.78270506932836,2255,96.7391305177108,184,55.150214256646805,466,56.585365213787476,2255,98.21428571428571,56,22.55639153674133,133,21.806853455546488,642,99.4323554927714,1057,83.45864518244464,133,80.37383067050827,642
9,99.85401459854015,4795,71.47623012183207,1199,71.3669312766473,5794,99.97141395206789,3498,97.85867353680302,467,97.11751577711422,2255,99.45652178059454,184,57.51072932722231,466,57.0288243684959,2255,96.42857088361468,56,17.293233116766565,133,23.208722531981184,642,99.71617787630916,1057,81.95488589867614,133,79.43925180167795,642
10,99.68717413972888,4795,71.1426189572141,1199,72.35070762068064,5794,99.91423680919998,3498,98.07280556394916,467,97.56097555562292,2255,98.91304335386857,184,54.935622792387214,466,57.383591550416796,2255,100.0,56,19.548872850891343,133,26.63551374982079,642,99.0539258886534,1057,84.96240515457957,133,82.08722542379505,642
11,99.77059436913451,4795,70.4753960298438,1199,70.96996893074581,5794,99.85706144390684,3498,98.2869388163728,467,97.02882467130335,2255,100.0,184,54.5064379401473,466,55.16629632877933,2255,98.21428571428571,56,17.29323338924494,133,22.897195922994168,642,99.52696331966115,1057,81.95488543976518,133,83.02180593853056,642
12,99.7497393117831,4795,70.39199325141557,1199,71.17707970605704,5794,99.88564819196348,3498,97.43040711364092,467,97.5609752917237,2255,98.3695652173913,184,56.00858324075462,466,56.00886850970283,2255,98.21428571428571,56,17.293233057610074,133,21.028037389119465,642,99.62157043197185,1057,78.94736744586686,133,81.93146341389213,642
13,99.7288842544317,4795,70.30859042208229,1199,70.84915430544984,5794,99.88564859328098,3498,96.78800794450324,467,97.56097499399122,2255,100.0,184,51.502146569444385,466,53.348114611674305,2255,94.64285687037876,56,26.31578982862315,133,26.791277234056658,642,99.4323556154769,1057,87.21804367868523,133,82.55451728844568,642
14,99.7497393117831,4795,70.72560459420123,1199,71.28063510819719,5794,99.85706067180688,3498,96.35974224017059,467,97.02882417733812,2255,99.45652173913044,184,54.72103017389519,466,55.83148568569953,2255,100.0,56,24.81203022935337,133,23.987538658569907,642,99.43235549998937,1057,82.70676577001586,133,82.39875325235623,642
